category,subcategory,기준년도,year,freq
합계,합계,발생건수,1998,239721
합계,합계,사망자수,1998,9057
합계,합계,부상자수,1998,340564
차대사람,합계,발생건수,1998,70631
차대사람,합계,사망자수,1998,3495
차대사람,합계,부상자수,1998,71973
차대사람,마주보고통행중,발생건수,1998,532
차대사람,마주보고통행중,사망자수,1998,33
차대사람,마주보고통행중,부상자수,1998,540
차대사람,등지고통행중,발생건수,1998,1227
차대사람,등지고통행중,사망자수,1998,60
차대사람,등지고통행중,부상자수,1998,1265
차대사람,횡단보도횡단중,발생건수,1998,6057
차대사람,횡단보도횡단중,사망자수,1998,247
차대사람,횡단보도횡단중,부상자수,1998,6354
차대사람,횡단보도부근횡단중,발생건수,1998,1107
차대사람,횡단보도부근횡단중,사망자수,1998,70
차대사람,횡단보도부근횡단중,부상자수,1998,1126
차대사람,육교부근횡단중,발생건수,1998,253
차대사람,육교부근횡단중,사망자수,1998,28
차대사람,육교부근횡단중,부상자수,1998,249
차대사람,기타횡단중,발생건수,1998,22948
차대사람,기타횡단중,사망자수,1998,1307
차대사람,기타횡단중,부상자수,1998,22801
차대사람,노상유희중,발생건수,1998,1024
차대사람,노상유희중,사망자수,1998,45
차대사람,노상유희중,부상자수,1998,1053
차대사람,노상작업중,발생건수,1998,226
차대사람,노상작업중,사망자수,1998,25
차대사람,노상작업중,부상자수,1998,230
차대사람,길가장자리정지중,발생건수,1998,789
차대사람,길가장자리정지중,사망자수,1998,55
차대사람,길가장자리정지중,부상자수,1998,833
차대사람,보도통행중,발생건수,1998,531
차대사람,보도통행중,사망자수,1998,32
차대사람,보도통행중,부상자수,1998,588
차대사람,길가장자리구역통행중,발생건수,1998,1865
차대사람,길가장자리구역통행중,사망자수,1998,132
차대사람,길가장자리구역통행중,부상자수,1998,1911
차대사람,[차대사람]기타,발생건수,1998,34072
차대사람,[차대사람]기타,사망자수,1998,1461
차대사람,[차대사람]기타,부상자수,1998,35023
차대차,합계,발생건수,1998,158732
차대차,합계,사망자수,1998,3593
차대차,합계,부상자수,1998,254234
차대차,[정면충돌]앞지르기할때,발생건수,1998,393
차대차,[정면충돌]앞지르기할때,사망자수,1998,62
차대차,[정면충돌]앞지르기할때,부상자수,1998,830
차대차,[정면충돌]기타,발생건수,1998,4562
차대차,[정면충돌]기타,사망자수,1998,492
차대차,[정면충돌]기타,부상자수,1998,8938
차대차,[추돌]진행중,발생건수,1998,36436
차대차,[추돌]진행중,사망자수,1998,646
차대차,[추돌]진행중,부상자수,1998,60129
차대차,[추돌]주정차중,발생건수,1998,15284
차대차,[추돌]주정차중,사망자수,1998,186
차대차,[추돌]주정차중,부상자수,1998,27482
차대차,전측면,발생건수,1998,8206
차대차,전측면,사망자수,1998,156
차대차,전측면,부상자수,1998,12559
차대차,앞지르기할때,발생건수,1998,1693
차대차,앞지르기할때,사망자수,1998,71
차대차,앞지르기할때,부상자수,1998,2572
차대차,회전시,발생건수,1998,2443
차대차,회전시,사망자수,1998,27
차대차,회전시,부상자수,1998,3695
차대차,후진시,발생건수,1998,912
차대차,후진시,사망자수,1998,7
차대차,후진시,부상자수,1998,1168
차대차,진로변경시,발생건수,1998,6396
차대차,진로변경시,사망자수,1998,93
차대차,진로변경시,부상자수,1998,9481
차대차,교행시,발생건수,1998,10670
차대차,교행시,사망자수,1998,315
차대차,교행시,부상자수,1998,17062
차대차,좌회전시,발생건수,1998,6962
차대차,좌회전시,사망자수,1998,98
차대차,좌회전시,부상자수,1998,10312
차대차,우회전시,발생건수,1998,3360
차대차,우회전시,사망자수,1998,36
차대차,우회전시,부상자수,1998,4698
차대차,[차대차]기타,발생건수,1998,61415
차대차,[차대차]기타,사망자수,1998,1404
차대차,[차대차]기타,부상자수,1998,95308
차량단독,합계,발생건수,1998,10318
차량단독,합계,사망자수,1998,1949
차량단독,합계,부상자수,1998,14306
차량단독,전주,발생건수,1998,645
차량단독,전주,사망자수,1998,194
차량단독,전주,부상자수,1998,913
차량단독,표지,발생건수,1998,143
차량단독,표지,사망자수,1998,39
차량단독,표지,부상자수,1998,199
차량단독,분리대안전섬,발생건수,1998,301
차량단독,분리대안전섬,사망자수,1998,55
차량단독,분리대안전섬,부상자수,1998,405
차량단독,방책등,발생건수,1998,385
차량단독,방책등,사망자수,1998,83
차량단독,방책등,부상자수,1998,587
차량단독,가옥.담장,발생건수,1998,191
차량단독,가옥.담장,사망자수,1998,30
차량단독,가옥.담장,부상자수,1998,269
차량단독,교량(교각),발생건수,1998,258
차량단독,교량(교각),사망자수,1998,92
차량단독,교량(교각),부상자수,1998,360
차량단독,[공장물충돌]기타,발생건수,1998,1646
차량단독,[공장물충돌]기타,사망자수,1998,331
차량단독,[공장물충돌]기타,부상자수,1998,2322
차량단독,[도로이탈]추락,발생건수,1998,997
차량단독,[도로이탈]추락,사망자수,1998,327
차량단독,[도로이탈]추락,부상자수,1998,1474
차량단독,[도로이탈]기타,발생건수,1998,1056
차량단독,[도로이탈]기타,사망자수,1998,165
차량단독,[도로이탈]기타,부상자수,1998,1572
차량단독,주차차량충돌(운전자부재),발생건수,1998,196
차량단독,주차차량충돌(운전자부재),사망자수,1998,38
차량단독,주차차량충돌(운전자부재),부상자수,1998,232
차량단독,전도,발생건수,1998,682
차량단독,전도,사망자수,1998,104
차량단독,전도,부상자수,1998,1109
차량단독,[차량단독]기타,발생건수,1998,3818
차량단독,[차량단독]기타,사망자수,1998,491
차량단독,[차량단독]기타,부상자수,1998,4864
차대열차,합계,발생건수,1998,40
차대열차,합계,사망자수,1998,20
차대열차,합계,부상자수,1998,51
철길건널목,철길건널목,발생건수,1998,40
철길건널목,철길건널목,사망자수,1998,20
철길건널목,철길건널목,부상자수,1998,51
합계,합계,발생건수,1999,275938
합계,합계,사망자수,1999,9353
합계,합계,부상자수,1999,402967
차대사람,합계,발생건수,1999,74527
차대사람,합계,사망자수,1999,3692
차대사람,합계,부상자수,1999,76512
차대사람,마주보고통행중,발생건수,1999,568
차대사람,마주보고통행중,사망자수,1999,34
차대사람,마주보고통행중,부상자수,1999,586
차대사람,등지고통행중,발생건수,1999,1379
차대사람,등지고통행중,사망자수,1999,80
차대사람,등지고통행중,부상자수,1999,1397
차대사람,횡단보도횡단중,발생건수,1999,6284
차대사람,횡단보도횡단중,사망자수,1999,289
차대사람,횡단보도횡단중,부상자수,1999,6498
차대사람,횡단보도부근횡단중,발생건수,1999,1462
차대사람,횡단보도부근횡단중,사망자수,1999,77
차대사람,횡단보도부근횡단중,부상자수,1999,1523
차대사람,육교부근횡단중,발생건수,1999,287
차대사람,육교부근횡단중,사망자수,1999,29
차대사람,육교부근횡단중,부상자수,1999,308
차대사람,기타횡단중,발생건수,1999,23026
차대사람,기타횡단중,사망자수,1999,1359
차대사람,기타횡단중,부상자수,1999,23057
차대사람,노상유희중,발생건수,1999,1190
차대사람,노상유희중,사망자수,1999,62
차대사람,노상유희중,부상자수,1999,1220
차대사람,노상작업중,발생건수,1999,215
차대사람,노상작업중,사망자수,1999,9
차대사람,노상작업중,부상자수,1999,233
차대사람,길가장자리정지중,발생건수,1999,743
차대사람,길가장자리정지중,사망자수,1999,35
차대사람,길가장자리정지중,부상자수,1999,803
차대사람,보도통행중,발생건수,1999,730
차대사람,보도통행중,사망자수,1999,25
차대사람,보도통행중,부상자수,1999,757
차대사람,길가장자리구역통행중,발생건수,1999,1670
차대사람,길가장자리구역통행중,사망자수,1999,109
차대사람,길가장자리구역통행중,부상자수,1999,1725
차대사람,[차대사람]기타,발생건수,1999,36973
차대사람,[차대사람]기타,사망자수,1999,1584
차대사람,[차대사람]기타,부상자수,1999,38405
차대차,합계,발생건수,1999,190437
차대차,합계,사망자수,1999,3788
차대차,합계,부상자수,1999,311040
차대차,[정면충돌]앞지르기할때,발생건수,1999,438
차대차,[정면충돌]앞지르기할때,사망자수,1999,61
차대차,[정면충돌]앞지르기할때,부상자수,1999,868
차대차,[정면충돌]기타,발생건수,1999,4517
차대차,[정면충돌]기타,사망자수,1999,469
차대차,[정면충돌]기타,부상자수,1999,8756
차대차,[추돌]진행중,발생건수,1999,45833
차대차,[추돌]진행중,사망자수,1999,810
차대차,[추돌]진행중,부상자수,1999,78533
차대차,[추돌]주정차중,발생건수,1999,16202
차대차,[추돌]주정차중,사망자수,1999,182
차대차,[추돌]주정차중,부상자수,1999,29396
차대차,전측면,발생건수,1999,8654
차대차,전측면,사망자수,1999,153
차대차,전측면,부상자수,1999,13318
차대차,앞지르기할때,발생건수,1999,1943
차대차,앞지르기할때,사망자수,1999,72
차대차,앞지르기할때,부상자수,1999,3083
차대차,회전시,발생건수,1999,2948
차대차,회전시,사망자수,1999,35
차대차,회전시,부상자수,1999,4536
차대차,후진시,발생건수,1999,1041
차대차,후진시,사망자수,1999,7
차대차,후진시,부상자수,1999,1365
차대차,진로변경시,발생건수,1999,8214
차대차,진로변경시,사망자수,1999,69
차대차,진로변경시,부상자수,1999,12274
차대차,교행시,발생건수,1999,14625
차대차,교행시,사망자수,1999,315
차대차,교행시,부상자수,1999,23606
차대차,좌회전시,발생건수,1999,7805
차대차,좌회전시,사망자수,1999,104
차대차,좌회전시,부상자수,1999,11767
차대차,우회전시,발생건수,1999,4153
차대차,우회전시,사망자수,1999,32
차대차,우회전시,부상자수,1999,5858
차대차,[차대차]기타,발생건수,1999,74064
차대차,[차대차]기타,사망자수,1999,1479
차대차,[차대차]기타,부상자수,1999,117680
차량단독,합계,발생건수,1999,10943
차량단독,합계,사망자수,1999,1855
차량단독,합계,부상자수,1999,15380
차량단독,전주,발생건수,1999,693
차량단독,전주,사망자수,1999,201
차량단독,전주,부상자수,1999,947
차량단독,표지,발생건수,1999,156
차량단독,표지,사망자수,1999,21
차량단독,표지,부상자수,1999,214
차량단독,분리대안전섬,발생건수,1999,303
차량단독,분리대안전섬,사망자수,1999,73
차량단독,분리대안전섬,부상자수,1999,443
차량단독,방책등,발생건수,1999,450
차량단독,방책등,사망자수,1999,80
차량단독,방책등,부상자수,1999,684
차량단독,가옥.담장,발생건수,1999,231
차량단독,가옥.담장,사망자수,1999,44
차량단독,가옥.담장,부상자수,1999,319
차량단독,교량(교각),발생건수,1999,274
차량단독,교량(교각),사망자수,1999,70
차량단독,교량(교각),부상자수,1999,404
차량단독,[공장물충돌]기타,발생건수,1999,1911
차량단독,[공장물충돌]기타,사망자수,1999,345
차량단독,[공장물충돌]기타,부상자수,1999,2684
차량단독,[도로이탈]추락,발생건수,1999,956
차량단독,[도로이탈]추락,사망자수,1999,307
차량단독,[도로이탈]추락,부상자수,1999,1602
차량단독,[도로이탈]기타,발생건수,1999,1027
차량단독,[도로이탈]기타,사망자수,1999,149
차량단독,[도로이탈]기타,부상자수,1999,1608
차량단독,주차차량충돌(운전자부재),발생건수,1999,204
차량단독,주차차량충돌(운전자부재),사망자수,1999,30
차량단독,주차차량충돌(운전자부재),부상자수,1999,239
차량단독,전도,발생건수,1999,753
차량단독,전도,사망자수,1999,88
차량단독,전도,부상자수,1999,1110
차량단독,[차량단독]기타,발생건수,1999,3985
차량단독,[차량단독]기타,사망자수,1999,447
차량단독,[차량단독]기타,부상자수,1999,5126
